,stemMin,stemMax,numberOfStemPeers,stemReductionMin,stemReductionMax,hops_mean,hops_median,hops_stdd,hops_min,hops_max,starting_stem_mean,starting_stem_median,starting_stem_stdd,starting_stem_min,starting_stem_max
189,1,3,2,1.2,2.5,1.2418,1.0,0.4392411182938137,1,3,1.9946,2.0,0.8166828270509918,1,3
190,1,3,2,1.2,2.6,1.2375,1.0,0.43851311268877696,1,3,2.0176,2.0,0.8161435167910116,1,3
191,1,3,2,1.2,2.7,1.2124,1.0,0.4184330770864082,1,3,2.0146,2.0,0.8132569335701972,1,3
192,1,3,2,1.3,1.3,1.5598,1.0,0.6249991679994461,1,3,1.9841,2.0,0.8105844743146762,1,3
193,1,3,2,1.3,1.4000000000000001,1.519,1.0,0.5940025252471576,1,3,1.9857,2.0,0.8220070011867295,1,3
194,1,3,2,1.3,1.5,1.4788,1.0,0.5640483667204436,1,3,1.9971,2.0,0.8174910335899715,1,3
195,1,3,2,1.3,1.6,1.4609,1.0,0.554500847609812,1,3,2.0002,2.0,0.8195120255371485,1,3
196,1,3,2,1.3,1.7000000000000002,1.4305,1.0,0.5375590665219964,1,3,1.9827,2.0,0.8130195016111237,1,3
197,1,3,2,1.3,1.8,1.4188,1.0,0.5232652864465596,1,3,1.9899,2.0,0.8164545241469362,1,3
198,1,3,2,1.3,1.9000000000000001,1.417,1.0,0.5208752249819528,1,3,2.0123,2.0,0.816301849808023,1,3
199,1,3,2,1.3,2.0,1.4019,1.0,0.5079137623652267,1,3,2.0063,2.0,0.8196708546727767,1,3
200,1,3,2,1.3,2.1,1.3616,1.0,0.49884410390421574,1,3,2.0109,2.0,0.8188902185274898,1,3
201,1,3,2,1.3,2.2,1.3197,1.0,0.4773802572373516,1,3,1.9972,2.0,0.8186526491742392,1,3
202,1,3,2,1.3,2.3,1.2873,1.0,0.46298888755563017,1,3,1.9944,2.0,0.8183939393714985,1,3
203,1,3,2,1.3,2.4000000000000004,1.265,1.0,0.45119286341873804,1,3,2.0135,2.0,0.8177516432267196,1,3
204,1,3,2,1.3,2.5,1.2405,1.0,0.43572898687142675,1,3,1.9979,2.0,0.8152886544040706,1,3
205,1,3,2,1.3,2.6,1.2176,1.0,0.4205356584167388,1,3,1.9992,2.0,0.8125265287976756,1,3
206,1,3,2,1.3,2.7,1.1994,1.0,0.4050180736707931,1,3,2.0086,2.0,0.8199549011988403,1,3
207,1,3,2,1.3,2.8,1.1807,1.0,0.3904452714529912,1,3,2.0034,2.0,0.8162036755614374,1,3
208,1,3,2,1.4,1.4,1.4931,1.0,0.5763266348174446,1,3,2.0041,2.0,0.815648937962896,1,3
209,1,3,2,1.4,1.5,1.4577,1.0,0.5542659199337444,1,3,1.995,2.0,0.8177866469929673,1,3
210,1,3,2,1.4,1.5999999999999999,1.4421,1.0,0.5368869434061514,1,3,2.0105,2.0,0.8148556620653746,1,3
211,1,3,2,1.4,1.7,1.4158,1.0,0.521450246907603,1,3,1.9961,2.0,0.8112242538287425,1,3
